Country,Period,Sex,Value
Finland,2020,Male,19.3
France,2020,Female,33.3
France,2020,Both sexes,34.5
France,2020,Male,35.8
Gambia,2020,Female,0.5
Gambia,2020,Both sexes,10.6
Gambia,2020,Male,20.8
Georgia,2020,Both sexes,31.9
Georgia,2020,Male,56.3
Georgia,2020,Female,7.4
Germany,2020,Female,20.2
Germany,2020,Both sexes,22.4
Germany,2020,Male,24.5
Ghana,2020,Female,0.3
Ghana,2020,Both sexes,2.6
Ghana,2020,Male,4.8
Greece,2020,Female,31.5
Greece,2020,Both sexes,34.2
Greece,2020,Male,37
Guatemala,2020,Female,1.8
Guatemala,2020,Both sexes,12.1
Guatemala,2020,Male,22.5
Guinea-Bissau,2020,Female,0.5
Guinea-Bissau,2020,Male,16.5
Guinea-Bissau,2020,Both sexes,8.5
Guyana,2020,Male,11.3
Guyana,2020,Female,2.4
Guyana,2020,Both sexes,6.9
Haiti,2020,Male,13.9
Haiti,2020,Female,2.7
Haiti,2020,Both sexes,8.3
Honduras,2020,Female,1.8
Honduras,2020,Both sexes,12.7
Honduras,2020,Male,23.5
Hungary,2020,Female,28.5
Hungary,2020,Both sexes,32.6
Hungary,2020,Male,36.7
Iceland,2020,Female,10.4
Iceland,2020,Both sexes,10.5
Iceland,2020,Male,10.5
India,2020,Female,1.5
India,2020,Male,14.7
India,2020,Both sexes,8.1
Indonesia,2020,Female,2.3
Indonesia,2020,Both sexes,36.2
Indonesia,2020,Male,70
Iran (Islamic Republic of),2020,Female,1.3
Iran (Islamic Republic of),2020,Male,17.9
Iran (Islamic Republic of),2020,Both sexes,9.6
Iraq,2020,Both sexes,19.2
Iraq,2020,Female,2
Iraq,2020,Male,36.5
Ireland,2020,Female,18.2
Ireland,2020,Both sexes,20.4
Ireland,2020,Male,22.5
Israel,2020,Female,14.5
Israel,2020,Both sexes,21.2
Israel,2020,Male,27.8
Italy,2020,Female,19.2
Italy,2020,Both sexes,22.7
Italy,2020,Male,26.3
Jamaica,2020,Both sexes,10.1
Jamaica,2020,Male,16.5
Jamaica,2020,Female,3.8
Japan,2020,Female,10
Japan,2020,Both sexes,20.2
Japan,2020,Male,30.3
Jordan,2020,Female,13.2
Jordan,2020,Both sexes,35.1
Jordan,2020,Male,57
Kazakhstan,2020,Both sexes,22.6
Kazakhstan,2020,Male,38.6
Kazakhstan,2020,Female,6.7
Kenya,2020,Female,0.9
Kenya,2020,Male,17.1
Kenya,2020,Both sexes,9
Kiribati,2020,Female,28.5
Kiribati,2020,Both sexes,41.6
Kiribati,2020,Male,54.7
Kuwait,2020,Both sexes,19.9
Kuwait,2020,Female,2.3
Kuwait,2020,Male,37.4
Kyrgyzstan,2020,Both sexes,26.7
Kyrgyzstan,2020,Female,3.3
Kyrgyzstan,2020,Male,50
Lao People's Democratic Republic,2020,Both sexes,26.4
Lao People's Democratic Republic,2020,Male,47.3
Lao People's Democratic Republic,2020,Female,5.4
Latvia,2020,Female,20
Latvia,2020,Both sexes,31.4
Latvia,2020,Male,42.8
Lebanon,2020,Female,26.1
Lebanon,2020,Both sexes,34.4
Lebanon,2020,Male,42.7
Lesotho,2020,Female,0.4
Lesotho,2020,Both sexes,20.6
Lesotho,2020,Male,40.8
Liberia,2020,Female,1.5
Liberia,2020,Male,13.2
Liberia,2020,Both sexes,7.4
Lithuania,2020,Female,19.6
Lithuania,2020,Both sexes,29.3
Lithuania,2020,Male,39
Luxembourg,2020,Female,21.9
Luxembourg,2020,Both sexes,23.5
Luxembourg,2020,Male,25.2
Madagascar,2020,Female,1.3
Madagascar,2020,Both sexes,16.7
Madagascar,2020,Male,32.1
Malawi,2020,Female,1.5
Malawi,2020,Male,16.5
Malawi,2020,Both sexes,9
Malaysia,2020,Female,0.6
Malaysia,2020,Both sexes,21
Malaysia,2020,Male,41.4
Maldives,2020,Both sexes,24.1
Maldives,2020,Female,4.3
Maldives,2020,Male,43.8
Mali,2020,Female,0.8
Mali,2020,Male,12.9
Mali,2020,Both sexes,6.9
Malta,2020,Female,23.3
Malta,2020,Both sexes,25.4
Malta,2020,Male,27.5
Marshall Islands,2020,Both sexes,23.5
Marshall Islands,2020,Female,4.1
Marshall Islands,2020,Male,42.9
Mauritania,2020,Female,1.5
Mauritania,2020,Male,14.7
Mauritania,2020,Both sexes,8.1
Mauritius,2020,Both sexes,21.3
Mauritius,2020,Female,3.1
Mauritius,2020,Male,39.6
Mexico,2020,Both sexes,15.5
Mexico,2020,Male,23.8
Mexico,2020,Female,7.2
Mongolia,2020,Both sexes,28.4
Mongolia,2020,Male,50.2
Mongolia,2020,Female,6.7
Montenegro,2020,Male,31.5
Montenegro,2020,Both sexes,32.4
Montenegro,2020,Female,33.2
Morocco,2020,Female,1.1
Morocco,2020,Both sexes,13.5
Morocco,2020,Male,25.9
Myanmar,2020,Both sexes,20.8
Myanmar,2020,Female,3.6
Myanmar,2020,Male,38
Namibia,2020,Both sexes,13.3
Namibia,2020,Male,21.6
Namibia,2020,Female,5
Nauru,2020,Female,45.8
Nauru,2020,Both sexes,46
Nauru,2020,Male,46.2
Nepal,2020,Both sexes,17.6
Nepal,2020,Male,28.6
Nepal,2020,Female,6.5
Netherlands (Kingdom of the),2020,Female,19.9
Netherlands (Kingdom of the),2020,Both sexes,22.2
Netherlands (Kingdom of the),2020,Male,24.4
New Zealand,2020,Female,12.1
New Zealand,2020,Both sexes,13.3
New Zealand,2020,Male,14.5
Niger,2020,Female,0.6
Niger,2020,Male,12.2
Niger,2020,Both sexes,6.4
Nigeria,2020,Female,0.4
Nigeria,2020,Both sexes,3.3
Nigeria,2020,Male,6.2
Norway,2020,Female,15.1
Norway,2020,Both sexes,15.8
Norway,2020,Male,16.6
Oman,2020,Female,0.4
Oman,2020,Male,14.6
Oman,2020,Both sexes,7.5
Pakistan,2020,Both sexes,14
Pakistan,2020,Male,24.7
Pakistan,2020,Female,3.3
Palau,2020,Both sexes,18
Palau,2020,Male,27.9
Palau,2020,Female,8
Panama,2020,Female,2
Panama,2020,Both sexes,5.4
Panama,2020,Male,8.8
Papua New Guinea,2020,Female,25.9
Papua New Guinea,2020,Both sexes,40.7
Papua New Guinea,2020,Male,55.4
Paraguay,2020,Both sexes,11.7
Paraguay,2020,Male,19
Paraguay,2020,Female,4.4
Peru,2020,Male,13.2
Peru,2020,Female,3.1
Peru,2020,Both sexes,8.2
Philippines,2020,Both sexes,21.6
Philippines,2020,Male,38.1
Philippines,2020,Female,5
Poland,2020,Female,20.9
Poland,2020,Both sexes,24.5
Poland,2020,Male,28.1
Portugal,2020,Female,20.3
Portugal,2020,Both sexes,25.6
Portugal,2020,Male,30.9
Qatar,2020,Female,1.9
Qatar,2020,Both sexes,10.8
Qatar,2020,Male,19.6
Republic of Korea,2020,Both sexes,21
Republic of Korea,2020,Male,36
Republic of Korea,2020,Female,5.9
Republic of Moldova,2020,Both sexes,27.7
Republic of Moldova,2020,Male,48.9
Republic of Moldova,2020,Female,6.6
Romania,2020,Female,20.7
Romania,2020,Both sexes,30.1
Romania,2020,Male,39.5
Russian Federation,2020,Female,16.8
Russian Federation,2020,Both sexes,29.4
Russian Federation,2020,Male,42
Rwanda,2020,Both sexes,10.6
Rwanda,2020,Male,17.5
Rwanda,2020,Female,3.7
Saint Lucia,2020,Both sexes,14.3
Saint Lucia,2020,Male,25.3
Saint Lucia,2020,Female,3.2
